lemma,present_sg,present_pl,class,gloss
huilen,huilt,huilen,weak,to cry
lachen,lacht,lachen,weak,to laugh
vluchten,vlucht,vluchten,weak,to flee
schrikken,schrikt,schrikken,strong,to startle
struikelen,struikelt,struikelen,weak,to stumble
zuchten,zucht,zuchten,weak,to sigh
knikken,knikt,knikken,weak,to nod
sterven,sterft,sterven,strong,to die
slapen,slaapt,slapen,strong,to sleep
wachten,wacht,wachten,weak,to wait
trillen,trilt,trillen,weak,to tremble
juichen,juicht,juichen,weak,to cheer
gapen,gaapt,gapen,weak,to yawn
fluisteren,fluistert,fluisteren,weak,to whisper
klagen,klaagt,klagen,weak,to complain
schreeuwen,schreeuwt,schreeuwen,weak,to scream
knipogen,knipoogt,knipogen,weak,to wink
blozen,bloost,blozen,weak,to blush
hoesten,hoest,hoesten,weak,to cough
aarzelen,aarzelt,aarzelen,weak,to hesitate
slagen,slaagt,slagen,weak,to succeed
vertrekken,vertrekt,vertrekken,strong,to depart
verdwijnen,verdwijnt,verdwijnen,strong,to disappear
blijven,blijft,blijven,strong,to stay
vallen,valt,vallen,strong,to fall
zwijgen,zwijgt,zwijgen,strong,to be silent
dansen,danst,dansen,weak,to dance
zingen,zingt,zingen,strong,to sing
zwemmen,zwemt,zwemmen,strong,to swim
winnen,wint,winnen,strong,to win
reageren,reageert,reageren,weak,to react
protesteren,protesteert,protesteren,weak,to protest
glimlachen,glimlacht,glimlachen,weak,to smile
rusten,rust,rusten,weak,to rest
twijfelen,twijfelt,twijfelen,weak,to doubt
vertragen,vertraagt,vertragen,weak,to slow down
ademen,ademt,ademen,weak,to breathe
dromen,droomt,dromen,weak,to dream
emigreren,emigreert,emigreren,weak,to emigrate
wankelen,wankelt,wankelen,weak,to wobble
